pipeline_mode,calibration_split,evaluation_split,target_precision,n_evaluation,n_assigned,coverage,assigned_precision,assigned_correct,false_species_call_rate_all_queries,assigned_species_count,assigned_genus_count,assigned_family_count,assigned_order_count,assigned_no_call_count
cnn_seed1206__exact__none__vector,seen_test,eval_c,0.8,11594,11594,1.0,0.6574090046575815,7622,0.18535449370363982,2149,1205,8240,0,0
cnn_seed1206__exact__none__vector,seen_test,unseen_genera,0.8,9148,9148,1.0,0.5566243987756887,5092,0.0944468736335811,864,602,7682,0,0
cnn_seed1206__exact__none__vector,seen_test,eval_c,0.9,11594,11594,1.0,0.7841124719682594,9091,0.09185785751250647,1065,969,8717,843,0
cnn_seed1206__exact__none__vector,seen_test,unseen_genera,0.9,9148,9148,1.0,0.7344774814167031,6719,0.021644075207695672,198,305,7319,1326,0
cnn_seed1206__exact__none__vector,seen_test,eval_c,0.95,11594,11594,1.0,0.8392271864757633,9730,0.06279109884422977,728,969,7570,2327,0
cnn_seed1206__exact__none__vector,seen_test,unseen_genera,0.95,9148,9148,1.0,0.794927853082641,7272,0.007105378224748579,65,305,5587,3191,0
cnn_seed1206__exact__none__vector,seen_test,eval_c,0.99,11594,11139,0.9607555632223564,0.9001705718646198,10027,0.016129032258064516,187,969,7922,2061,455
cnn_seed1206__exact__none__vector,seen_test,unseen_genera,0.99,9148,8569,0.9367074770441627,0.8370871746994982,7173,0.0006558810668998689,6,305,5606,2652,579
cnn_seed1206__exact__p_distance__reranked,seen_test,eval_c,0.8,11594,11594,1.0,0.8125754700707263,9421,0.018975332068311195,220,1134,10240,0,0
cnn_seed1206__exact__p_distance__reranked,seen_test,unseen_genera,0.8,9148,9148,1.0,0.6466987319632707,5916,0.00470048097944906,43,493,8612,0,0
cnn_seed1206__exact__p_distance__reranked,seen_test,eval_c,0.9,11594,11594,1.0,0.8839917198550975,10249,0.0,0,689,9584,1321,0
cnn_seed1206__exact__p_distance__reranked,seen_test,unseen_genera,0.9,9148,9148,1.0,0.7561215566243987,6917,0.0,0,310,6905,1933,0
cnn_seed1206__exact__p_distance__reranked,seen_test,eval_c,0.95,11594,11594,1.0,0.9096084181473176,10546,0.0,0,689,7748,3157,0
cnn_seed1206__exact__p_distance__reranked,seen_test,unseen_genera,0.95,9148,9148,1.0,0.8015959772627896,7333,0.0,0,310,5633,3205,0
cnn_seed1206__exact__p_distance__reranked,seen_test,eval_c,0.99,11594,11112,0.9584267724685182,0.9302555795536357,10337,0.0,0,689,7748,2675,482
cnn_seed1206__exact__p_distance__reranked,seen_test,unseen_genera,0.99,9148,8445,0.9231526016615653,0.8389579632918887,7085,0.0,0,310,5633,2502,703
cnn_seed1206__hnsw__none__vector,seen_test,eval_c,0.8,11594,11594,1.0,0.6516301535276867,7555,0.18544074521304124,2150,1206,8238,0,0
cnn_seed1206__hnsw__none__vector,seen_test,unseen_genera,0.8,9148,9148,1.0,0.5519239177962396,5049,0.09575863576738085,876,619,7653,0,0
cnn_seed1206__hnsw__none__vector,seen_test,eval_c,0.9,11594,11594,1.0,0.7791961359323788,9034,0.09134034845609798,1059,971,8710,854,0
cnn_seed1206__hnsw__none__vector,seen_test,unseen_genera,0.9,9148,9148,1.0,0.7316353301268037,6693,0.02109750765194578,193,310,7332,1313,0
cnn_seed1206__hnsw__none__vector,seen_test,eval_c,0.95,11594,11594,1.0,0.8340520959116785,9670,0.06261859582542695,726,971,7574,2323,0
cnn_seed1206__hnsw__none__vector,seen_test,unseen_genera,0.95,9148,9148,1.0,0.7903366856143419,7230,0.007542632269348491,69,310,5609,3160,0
cnn_seed1206__hnsw__none__vector,seen_test,eval_c,0.99,11594,11095,0.9569604968086941,0.8977016674177557,9960,0.016129032258064516,187,971,7927,2010,499
cnn_seed1206__hnsw__none__vector,seen_test,unseen_genera,0.99,9148,8540,0.9335373852208133,0.8334894613583138,7118,0.0006558810668998689,6,310,5632,2592,608
